match_id,match_date,stage,home_team,away_team,home_goals,away_goals,target,home_country,away_country,home_elo,away_elo,elo_diff,home_ucl_experience,home_smoothed_gf,home_smoothed_ga,away_ucl_experience,away_smoothed_gf,away_smoothed_ga,home_league_tier,away_league_tier,league_tier_diff
451562,2023-10-03 19:00:00+00:00,GROUP_STAGE,FC København,FC Bayern München,1,2,0,Denmark,Germany,1353.5763383958952,1851.5521897885876,-497.97585139269245,1,1.7617562380038387,1.7617562380038387,1,2.261756238003839,2.011756238003839,1.0,4.0,-3.0
451572,2023-10-03 19:00:00+00:00,GROUP_STAGE,Manchester United FC,Galatasaray SK,2,3,0,England,Turkey,1498.4478102114124,1396.4236616041048,102.02414860730755,1,2.011756238003839,2.261756238003839,1,1.7617562380038387,1.7617562380038387,4.0,2.0,2.0
451576,2023-10-03 19:00:00+00:00,GROUP_STAGE,Racing Club de Lens,Arsenal FC,2,1,2,France,England,1453.5763383958952,1754.035305134269,-300.4589667383739,1,1.5117562380038387,1.5117562380038387,1,2.261756238003839,1.2617562380038387,3.0,4.0,-1.0
451581,2023-10-03 19:00:00+00:00,GROUP_STAGE,PSV,Sevilla FC,2,2,1,Netherlands,Spain,1445.964694865731,1496.4236616041048,-50.458966738373874,1,1.2617562380038387,2.261756238003839,1,1.5117562380038387,1.5117562380038387,3.0,4.0,-1.0
451611,2023-10-04 16:45:00+00:00,GROUP_STAGE,Club Atlético de Madrid,Feyenoord Rotterdam,3,2,2,Spain,Netherlands,1745.4633985544654,1459.0844293606203,286.378969193845,1,1.5117562380038387,1.5117562380038387,1,1.7617562380038387,1.2617562380038387,4.0,3.0,1.0
451655,2023-10-04 16:45:00+00:00,GROUP_STAGE,Royal Antwerp FC,FK Shakhtar Donetsk,2,3,0,Belgium,Ukraine,1396.5291981187372,1336.6710531239155,59.858144994821714,1,1.2617562380038387,2.511756238003839,1,1.5117562380038387,2.011756238003839,2.0,1.0,1.0
451631,2023-10-04 19:00:00+00:00,GROUP_STAGE,Newcastle United FC,Paris Saint-Germain FC,4,1,2,England,France,1502.262736403063,1809.0844293606203,-306.8216929575574,1,1.2617562380038387,1.2617562380038387,1,1.7617562380038387,1.2617562380038387,4.0,3.0,1.0
451617,2023-10-04 19:00:00+00:00,GROUP_STAGE,Celtic FC,SS Lazio,1,2,0,Scotland,Italy,1390.9155706393797,1504.5366014455346,-113.62103080615498,1,1.2617562380038387,1.7617562380038387,1,1.5117562380038387,1.5117562380038387,2.0,4.0,-2.0
451622,2023-10-04 19:00:00+00:00,GROUP_STAGE,Borussia Dortmund,AC Milan,0,0,1,Germany,Italy,1740.9155706393797,1497.737263596937,243.1783070424426,1,1.2617562380038387,1.7617562380038387,1,1.2617562380038387,1.2617562380038387,4.0,4.0,0.0
451644,2023-10-04 19:00:00+00:00,GROUP_STAGE,RB Leipzig,Manchester City FC,1,3,0,Germany,England,1511.3307696644774,1850.9691761469837,-339.6384064825063,1,2.011756238003839,1.5117562380038387,1,2.011756238003839,1.5117562380038387,4.0,4.0,0.0
451646,2023-10-04 19:00:00+00:00,GROUP_STAGE,FC Porto,FC Barcelona,0,1,0,Portugal,Spain,1463.3289468760845,1753.4708018812628,-290.1418550051783,1,2.011756238003839,1.5117562380038387,1,2.511756238003839,1.2617562380038387,3.0,4.0,-1.0
451634,2023-10-04 19:00:00+00:00,GROUP_STAGE,FK Crvena Zvezda,BSC Young Boys,2,2,1,Serbia,Switzerland,1349.0308238530163,1338.6692303355226,10.361593517493702,1,1.5117562380038387,2.011756238003839,1,1.5117562380038387,2.011756238003839,1.0,1.0,0.0
451597,2023-10-24 16:45:00+00:00,GROUP_STAGE,FC Internazionale Milano,FC Red Bull Salzburg,2,1,2,Italy,Austria,1795.8282952598306,1358.9440731738734,436.88422208595716,2,1.409404990403071,1.209404990403071,2,1.409404990403071,1.409404990403071,4.0,1.0,3.0
451564,2023-10-24 16:45:00+00:00,GROUP_STAGE,Galatasaray SK,FC Bayern München,1,3,0,Turkey,Germany,1411.2307644505963,1853.2064212678004,-441.975656817204,2,2.009404990403071,1.8094049904030711,2,2.2094049904030713,1.8094049904030711,2.0,4.0,-2.0
451589,2023-10-24 19:00:00+00:00,GROUP_STAGE,1. FC Union Berlin,SSC Napoli,0,1,0,Germany,Italy,1484.6400757964611,1507.2147793957538,-22.57470359929266,2,1.409404990403071,1.8094049904030711,2,1.8094049904030711,1.8094049904030711,4.0,4.0,0.0
451592,2023-10-24 19:00:00+00:00,GROUP_STAGE,Sporting Clube de Braga,Real Madrid CF,1,2,0,Portugal,Spain,1452.9464045745067,1855.1987402332782,-402.25233565877147,2,1.8094049904030711,1.8094049904030711,2,1.8094049904030711,1.409404990403071,3.0,4.0,-1.0
451608,2023-10-24 19:00:00+00:00,GROUP_STAGE,Sport Lisboa e Benfica,Real Sociedad de Fútbol,0,1,0,Portugal,Spain,1427.6922365737314,1517.5353949925645,-89.84315841883313,2,1.009404990403071,1.6094049904030712,2,1.6094049904030712,1.209404990403071,3.0,4.0,-1.0
451570,2023-10-24 19:00:00+00:00,GROUP_STAGE,Manchester United FC,FC København,1,0,2,England,Denmark,1483.640707364921,1351.9221069166824,131.71860044823848,2,2.009404990403071,2.409404990403071,2,1.6094049904030712,1.8094049904030711,4.0,1.0,3.0
451578,2023-10-24 19:00:00+00:00,GROUP_STAGE,Sevilla FC,Arsenal FC,1,2,0,Spain,England,1497.2718778399246,1738.4236561691755,-241.15177832925087,2,1.6094049904030712,1.6094049904030712,2,2.009404990403071,1.409404990403071,4.0,4.0,0.0
451580,2023-10-24 19:00:00+00:00,GROUP_STAGE,Racing Club de Lens,PSV,1,1,1,France,Netherlands,1469.1879873609887,1445.1164786299112,24.07150873107753,2,1.6094049904030712,1.409404990403071,2,1.409404990403071,2.2094049904030713,3.0,3.0,0.0
451619,2023-10-25 16:45:00+00:00,GROUP_STAGE,Feyenoord Rotterdam,SS Lazio,3,1,2,Netherlands,Italy,1456.9200170247975,1513.5719196899136,-56.65190266511604,2,1.8094049904030711,1.6094049904030712,2,1.6094049904030712,1.409404990403071,3.0,4.0,-1.0
451649,2023-10-25 16:45:00+00:00,GROUP_STAGE,FC Barcelona,FK Shakhtar Donetsk,2,1,2,Spain,Ukraine,1758.0659775013862,1350.4922899822657,407.57368751912054,2,2.2094049904030713,1.009404990403071,2,1.8094049904030711,2.009404990403071,4.0,1.0,3.0
451610,2023-10-25 19:00:00+00:00,GROUP_STAGE,Celtic FC,Club Atlético de Madrid,2,2,1,Scotland,Spain,1381.8802523950008,1747.6278108902882,-365.7475584952874,2,1.209404990403071,1.8094049904030711,2,1.8094049904030711,1.6094049904030712,2.0,4.0,-2.0
451626,2023-10-25 19:00:00+00:00,GROUP_STAGE,Paris Saint-Germain FC,AC Milan,3,0,2,France,Italy,1781.829184508108,1505.0440507096846,276.78513379842343,2,1.6094049904030712,1.8094049904030711,2,1.009404990403071,1.009404990403071,3.0,4.0,-1.0
451642,2023-10-25 19:00:00+00:00,GROUP_STAGE,RB Leipzig,FK Crvena Zvezda,3,1,2,Germany,Serbia,1506.1481726631232,1346.487105564946,159.66106709817723,2,1.8094049904030711,1.8094049904030711,2,1.6094049904030712,2.009404990403071,4.0,1.0,3.0
451628,2023-10-25 19:00:00+00:00,GROUP_STAGE,Newcastle United FC,Borussia Dortmund,0,1,0,England,Germany,1529.5179812555753,1733.6087835266321,-204.09080227105687,2,1.8094049904030711,1.209404990403071,2,1.009404990403071,1.409404990403071,4.0,4.0,0.0
451652,2023-10-25 19:00:00+00:00,GROUP_STAGE,Royal Antwerp FC,FC Porto,1,4,0,Belgium,Portugal,1382.707961260387,1458.733771255961,-76.02580999557404,2,1.409404990403071,2.609404990403071,2,1.6094049904030712,1.409404990403071,2.0,3.0,-1.0
451635,2023-10-25 19:00:00+00:00,GROUP_STAGE,BSC Young Boys,Manchester City FC,1,3,0,Switzerland,England,1341.2129486235929,1856.151773148338,-514.9388245247451,2,1.6094049904030712,2.009404990403071,2,2.2094049904030713,1.409404990403071,1.0,4.0,-3.0
451627,2023-11-07 17:45:00+00:00,GROUP_STAGE,Borussia Dortmund,Newcastle United FC,2,0,2,Germany,England,1740.1816651634872,1522.9450996187202,217.23656554476702,3,1.0078374920025592,1.1745041586692258,3,1.5078374920025592,1.1745041586692258,4.0,4.0,0.0
451650,2023-11-07 17:45:00+00:00,GROUP_STAGE,FK Shakhtar Donetsk,FC Barcelona,1,0,2,Ukraine,Spain,1349.3530258754552,1759.2052416081967,-409.85221573274157,3,1.674504158669226,2.0078374920025595,3,2.174504158669226,1.0078374920025592,1.0,4.0,-3.0
451641,2023-11-07 20:00:00+00:00,GROUP_STAGE,FK Crvena Zvezda,RB Leipzig,1,2,0,Serbia,Germany,1340.7998952497035,1511.8353829783657,-171.03548772866225,3,1.5078374920025592,2.174504158669226,3,2.0078374920025595,1.674504158669226,1.0,4.0,-3.0
451625,2023-11-07 20:00:00+00:00,GROUP_STAGE,AC Milan,Paris Saint-Germain FC,2,1,2,Italy,France,1501.1065128426708,1785.7667223751218,-284.66020953245106,3,0.8411708253358925,1.3411708253358927,3,1.8411708253358927,1.5078374920025592,4.0,3.0,1.0
451636,2023-11-07 20:00:00+00:00,GROUP_STAGE,Manchester City FC,BSC Young Boys,3,0,2,England,Switzerland,1858.2900234567269,1339.074698315204,519.215325141523,3,2.3411708253358925,1.3411708253358927,3,1.5078374920025592,2.174504158669226,4.0,1.0,3.0
451609,2023-11-07 20:00:00+00:00,GROUP_STAGE,Club Atlético de Madrid,Celtic FC,6,0,2,Spain,Scotland,1740.8638124078573,1388.6442508774317,352.2195615304256,3,1.8411708253358927,1.674504158669226,3,1.3411708253358927,1.8411708253358927,4.0,2.0,2.0
451620,2023-11-07 20:00:00+00:00,GROUP_STAGE,SS Lazio,Feyenoord Rotterdam,1,0,2,Italy,Netherlands,1500.3787248757822,1470.113211838929,30.265513036853235,3,1.5078374920025592,1.674504158669226,3,2.0078374920025595,1.5078374920025592,4.0,3.0,1.0
451651,2023-11-07 20:00:00+00:00,GROUP_STAGE,FC Porto,Royal Antwerp FC,2,0,2,Portugal,Belgium,1476.2523937186377,1365.1893387977104,111.06305492092724,3,2.0078374920025595,1.3411708253358927,3,1.3411708253358927,2.8411708253358925,3.0,2.0,1.0
451590,2023-11-08 17:45:00+00:00,GROUP_STAGE,SSC Napoli,1. FC Union Berlin,1,1,1,Italy,Germany,1518.8527239509842,1473.0021312412307,45.85059270975353,3,1.674504158669226,1.5078374920025592,3,1.1745041586692258,1.674504158669226,4.0,4.0,0.0
451607,2023-11-08 17:45:00+00:00,GROUP_STAGE,Real Sociedad de Fútbol,Sport Lisboa e Benfica,3,1,2,Spain,Portugal,1527.2521618934638,1417.975469672832,109.27669222063173,3,1.5078374920025592,1.0078374920025592,3,0.8411708253358925,1.5078374920025592,4.0,3.0,1.0
451569,2023-11-08 20:00:00+00:00,GROUP_STAGE,FC København,Manchester United FC,4,3,2,Denmark,England,1347.3589776949902,1488.203836586613,-140.84485889162283,3,1.3411708253358927,1.674504158669226,3,1.8411708253358927,2.0078374920025595,1.0,4.0,-3.0
451591,2023-11-08 20:00:00+00:00,GROUP_STAGE,Real Madrid CF,Sporting Clube de Braga,3,0,2,Spain,Portugal,1857.9043998695201,1450.2407449382647,407.66365493125545,3,1.8411708253358927,1.3411708253358927,3,1.674504158669226,1.8411708253358927,4.0,3.0,1.0
451598,2023-11-08 20:00:00+00:00,GROUP_STAGE,FC Red Bull Salzburg,FC Internazionale Milano,0,1,0,Austria,Italy,1357.9731025700908,1796.7992658636133,-438.82616329352254,3,1.3411708253358927,1.5078374920025592,3,1.5078374920025592,1.1745041586692258,1.0,4.0,-3.0
451563,2023-11-08 20:00:00+00:00,GROUP_STAGE,FC Bayern München,Galatasaray SK,2,1,2,Germany,Turkey,1856.3372434508422,1408.0999422675545,448.2373011832876,3,2.3411708253358925,1.674504158669226,3,1.8411708253358927,2.0078374920025595,4.0,2.0,2.0
451577,2023-11-08 20:00:00+00:00,GROUP_STAGE,Arsenal FC,Sevilla FC,2,0,2,England,Spain,1744.0916329013662,1491.603901107734,252.4877317936323,3,2.0078374920025595,1.3411708253358927,3,1.5078374920025592,1.674504158669226,4.0,4.0,0.0
451579,2023-11-08 20:00:00+00:00,GROUP_STAGE,PSV,Racing Club de Lens,1,0,2,Netherlands,France,1448.0254117766663,1466.2790542142336,-18.25364243756735,3,1.3411708253358927,2.0078374920025595,3,1.5078374920025592,1.3411708253358927,3.0,3.0,0.0
451618,2023-11-28 17:45:00+00:00,GROUP_STAGE,SS Lazio,Celtic FC,2,0,2,Italy,Scotland,1507.3074586809944,1384.8867450530802,122.42071362791421,4,1.4352892788593365,1.4352892788593365,4,1.1495749931450507,2.4352892788593365,4.0,2.0,2.0
